vendor,year,rating_change_count,rating_upgrades,rating_downgrades,net_change
CARE,2021,111,59,52,7
CARE,2022,58,31,27,4
CARE,2023,27,15,12,3
CARE,2024,17,9,8,1
CARE,2025,13,7,6,1
DBRS,2021,117,63,54,9
DBRS,2022,61,33,28,5
DBRS,2023,54,28,26,2
DBRS,2024,32,17,15,2
DBRS,2025,17,9,8,1
Fitch,2021,127,67,60,7
Fitch,2022,72,38,34,4
Fitch,2023,36,19,17,2
Fitch,2024,32,17,15,2
Fitch,2025,12,6,6,0
ICRA,2021,119,62,57,5
ICRA,2022,64,34,30,4
ICRA,2023,40,21,19,2
ICRA,2024,30,16,14,2
ICRA,2025,15,8,7,1
Kroll,2021,133,72,61,11
Kroll,2022,65,34,31,3
Kroll,2023,37,19,18,1
Kroll,2024,30,16,14,2
Kroll,2025,23,12,11,1
Moody's,2021,131,70,61,9
Moody's,2022,65,34,31,3
Moody's,2023,41,21,20,1
Moody's,2024,33,17,16,1
Moody's,2025,11,6,5,1
Morningstar,2021,91,49,42,7
Morningstar,2022,57,30,27,3
Morningstar,2023,33,17,16,1
Morningstar,2024,24,13,11,2
Morningstar,2025,16,8,8,0
S&P,2021,135,71,64,7
S&P,2022,71,37,34,3
S&P,2023,37,19,18,1
S&P,2024,22,12,10,2
S&P,2025,13,7,6,1
