scd_key,security_id,vendor,rating_type,rating,effective_start_date,effective_end_date,is_active,source_feed_id,rating_raw
1,AM93THG,DBRS,Long Term,BBB,2024-01-09,2024-02-09,0,44,BBB
2,AM93THG,DBRS,Long Term,CCC-,2024-02-10,2024-02-29,0,44,CCC-
3,AM93THG,DBRS,Long Term,B3,2024-03-01,2024-04-15,0,44,B3
4,AM93THG,DBRS,Long Term,BAA1,2024-04-16,2024-06-06,0,44,Baa1
5,AM93THG,DBRS,Long Term,BB,2024-06-07,2024-08-13,0,44,BB
6,AM93THG,DBRS,Long Term,C,2024-08-14,2024-08-14,0,44,C
7,AM93THG,DBRS,Long Term,A2,2024-08-15,2024-09-02,0,44,A2
8,AM93THG,DBRS,Long Term,BBB,2024-09-03,2024-09-05,0,44,BBB-
9,AM93THG,DBRS,Long Term,B2,2024-09-06,,1,44,B2
10,AM93THG,DBRS,Short Term,BA3,2024-01-23,2024-02-26,0,44,Ba3
11,AM93THG,DBRS,Short Term,BA2,2024-02-27,2024-03-14,0,44,Ba2
12,AM93THG,DBRS,Short Term,A1,2024-03-15,2024-04-08,0,44,A1
13,AM93THG,DBRS,Short Term,B,2024-04-09,2024-05-06,0,44,B
14,AM93THG,DBRS,Short Term,BBB,2024-05-07,2024-06-10,0,44,BBB
15,AM93THG,DBRS,Short Term,BAA1,2024-06-11,2024-06-21,0,44,Baa1
16,AM93THG,DBRS,Short Term,D,2024-06-22,2024-06-30,0,44,D
17,AM93THG,DBRS,Short Term,A,2024-07-01,2024-07-08,0,44,A-
18,AM93THG,DBRS,Short Term,AA2,2024-07-09,2024-11-25,0,44,Aa2
19,AM93THG,DBRS,Short Term,CAA2,2024-11-26,2024-11-28,0,44,Caa2
20,AM93THG,DBRS,Short Term,C,2024-11-29,,1,44,C
21,AM93THG,Fitch,Long Term,Aaa,2024-01-09,2024-01-24,0,12,Aaa
22,AM93THG,Fitch,Long Term,A3,2024-01-25,2024-02-02,0,12,A3
23,AM93THG,Fitch,Long Term,BBB,2024-02-03,2024-03-07,0,12,BBB+
24,AM93THG,Fitch,Long Term,AAA,2024-03-08,2024-03-23,0,12,AAA
25,AM93THG,Fitch,Long Term,CCC,2024-03-24,,1,12,CCC
26,AM93THG,Fitch,Short Term,A,2024-03-07,2024-03-15,0,12,A+
27,AM93THG,Fitch,Short Term,Caa3,2024-03-16,2024-04-26,0,12,Caa3
28,AM93THG,Fitch,Short Term,Ba1,2024-04-27,2024-04-27,0,12,Ba1
29,AM93THG,Fitch,Short Term,D,2024-04-28,2024-06-07,0,12,D
30,AM93THG,Fitch,Short Term,B1,2024-06-08,2024-06-28,0,12,B1
31,AM93THG,Fitch,Short Term,A2,2024-06-29,2024-07-09,0,12,A2
32,AM93THG,Fitch,Short Term,BB,2024-07-10,2024-07-25,0,12,BB-
33,AM93THG,Fitch,Short Term,Ba2,2024-07-26,2024-08-02,0,12,Ba2
34,AM93THG,Fitch,Short Term,AA,2024-08-03,2024-08-16,0,12,AA-
35,AM93THG,Fitch,Short Term,Aaa,2024-08-17,2024-08-26,0,12,Aaa
36,AM93THG,Fitch,Short Term,Ba1,2024-08-27,2024-09-27,0,12,Ba1
37,AM93THG,Fitch,Short Term,B2,2024-09-28,2024-10-04,0,12,B2
38,AM93THG,Fitch,Short Term,Baa2,2024-10-05,2024-10-12,0,12,Baa2
39,AM93THG,Fitch,Short Term,Aaa,2024-10-13,2024-12-06,0,12,Aaa
40,AM93THG,Fitch,Short Term,Aa3,2024-12-07,2024-12-19,0,12,Aa3
41,AM93THG,Fitch,Short Term,BB,2024-12-20,,1,12,BB+
42,AM93THG,Moody's,Long Term,A,2024-02-10,2024-04-03,0,7,A3
43,AM93THG,Moody's,Long Term,B+,2024-04-04,2024-04-19,0,7,B+
44,AM93THG,Moody's,Long Term,A-,2024-04-20,2024-06-24,0,7,A-
45,AM93THG,Moody's,Long Term,AA+,2024-06-25,2024-06-30,0,7,AA+
46,AM93THG,Moody's,Long Term,B,2024-07-01,2024-09-01,0,7,B
47,AM93THG,Moody's,Long Term,A,2024-09-02,2024-09-25,0,7,A2
48,AM93THG,Moody's,Long Term,AAA,2024-09-26,2024-10-05,0,7,AAA
49,AM93THG,Moody's,Long Term,BB,2024-10-06,,1,7,BB
50,AM93THG,Moody's,Short Term,CC,2024-01-06,2024-01-25,0,7,Ca
51,AM93THG,Moody's,Short Term,BB,2024-01-26,2024-04-09,0,7,Ba2
52,AM93THG,Moody's,Short Term,D,2024-04-10,2024-04-20,0,7,D
53,AM93THG,Moody's,Short Term,C,2024-04-21,2024-05-18,0,7,C
54,AM93THG,Moody's,Short Term,AA,2024-05-19,2024-06-23,0,7,Aa2
55,AM93THG,Moody's,Short Term,CCC,2024-06-24,2024-07-24,0,7,CCC
56,AM93THG,Moody's,Short Term,AAA,2024-07-25,2024-08-17,0,7,AAA
57,AM93THG,Moody's,Short Term,Caa2,2024-08-18,2024-09-14,0,7,Caa2
58,AM93THG,Moody's,Short Term,BB,2024-09-15,2024-09-25,0,7,Ba3
59,AM93THG,Moody's,Short Term,AA,2024-09-26,2024-10-22,0,7,Aa2
60,AM93THG,Moody's,Short Term,BB,2024-10-23,2024-10-30,0,7,Ba3
61,AM93THG,Moody's,Short Term,CCC+,2024-10-31,2024-11-16,0,7,CCC+
62,AM93THG,Moody's,Short Term,B+,2024-11-17,,1,7,B+
63,AM93THG,S&P,Long Term,Aa1,2024-02-09,2024-06-03,0,90,Aa1
64,AM93THG,S&P,Long Term,B+,2024-06-04,2024-09-22,0,90,B+
65,AM93THG,S&P,Long Term,Aaa,2024-09-23,2024-12-29,0,90,Aaa
66,AM93THG,S&P,Long Term,Aa1,2024-12-30,,1,90,Aa1
67,AM93THG,S&P,Short Term,B-,2024-06-06,2024-08-08,0,90,B-
68,AM93THG,S&P,Short Term,Baa1,2024-08-09,2024-10-12,0,90,Baa1
69,AM93THG,S&P,Short Term,B1,2024-10-13,,1,90,B1
70,BNK120C,CARE,Corporate Rating,BA1,2024-12-14,2024-12-24,0,88,Ba1
71,BNK120C,CARE,Corporate Rating,CAA2,2024-12-25,,1,88,Caa2
72,BNK120C,CARE,Issuer Rating,CCC,2024-06-01,2024-06-01,0,88,CCC
73,BNK120C,CARE,Issuer Rating,AA,2024-06-02,2024-11-25,0,88,AA-
74,BNK120C,CARE,Issuer Rating,BBB,2024-11-26,2025-02-25,0,88,BBB+
75,BNK120C,CARE,Issuer Rating,BA3,2025-02-26,,1,88,Ba3
76,BNK120C,CARE,Long Term,B+,2024-10-01,,1,88,B+
77,BNK120C,CARE,Short Term,CCC+,2024-06-20,2024-09-27,0,88,CCC+
78,BNK120C,CARE,Short Term,BA2,2024-09-28,2024-09-28,0,88,Ba2
79,BNK120C,CARE,Short Term,CC,2024-09-29,2025-01-04,0,88,CC
80,BNK120C,CARE,Short Term,AA,2025-01-05,2025-01-31,0,88,AA+
81,BNK120C,CARE,Short Term,B-,2025-02-01,2025-03-05,0,88,B-
82,BNK120C,CARE,Short Term,AA,2025-03-06,,1,88,AA
83,BNK120C,ICRA,Corporate Rating,BAA3,2024-12-05,2024-12-23,0,77,Baa3
84,BNK120C,ICRA,Corporate Rating,BA3,2024-12-24,,1,77,Ba3
85,BNK120C,ICRA,Issuer Rating,C,2024-06-01,2024-09-29,0,77,C
86,BNK120C,ICRA,Issuer Rating,BAA1,2024-09-30,2024-11-21,0,77,Baa1
