SecurityKey,VendorKey,RatingTypeKey,CurrentRating,PreviousRating,RatingStartDate,RatingEndDate,IsOutlier
1,1,1,BBB,,2014-02-13,2015-11-26,False
1,1,1,A,BBB,2015-11-27,,False
1,2,1,BBB,,2012-06-15,2015-03-05,False
1,2,1,BBB,BBB,2015-03-06,,False
1,3,1,BBB,,2016-10-24,,False
2,1,1,AA,,2014-05-13,2014-07-17,False
2,1,1,AA,AA,2014-07-18,2015-07-22,False
2,1,1,A,AA,2015-07-23,,False
3,1,1,AA,,2014-04-29,2015-04-20,False
3,1,1,AA,AA,2015-04-21,,False
3,4,1,A,,2016-02-16,,False
4,1,1,A,,2013-05-07,2014-06-04,False
4,1,1,A,A,2014-06-05,2015-05-31,False
4,1,1,A,A,2015-06-01,2015-11-02,False
4,1,1,BBB,A,2015-11-03,,False
5,1,1,A,,2014-10-17,,False
5,3,1,A,,2013-02-12,2013-07-03,False
5,3,1,A,A,2013-07-04,2016-03-20,False
5,3,1,A,A,2016-03-21,,False
5,4,1,A,,2012-06-15,,False
6,1,1,A,,2014-10-28,,False
6,3,1,BBB,,2016-10-24,,False
6,4,1,A,,2012-06-15,2012-11-27,False
6,4,1,A,A,2012-11-28,,False
7,1,1,A,,2013-06-10,2013-09-26,False
7,1,1,A,A,2013-09-27,2015-05-25,False
7,1,1,AA,A,2015-05-26,2015-09-21,False
7,1,1,AA,AA,2015-09-22,,False
7,4,1,BBB,,2012-06-15,2016-08-09,False
7,4,1,BBB,BBB,2016-08-10,,False
8,1,1,AA,,2014-04-28,2014-07-17,False
8,1,1,AA,AA,2014-07-18,2015-10-26,False
8,1,1,A,AA,2015-10-27,,False
8,4,1,A,,2012-06-15,,False
9,3,1,BB,,2013-10-25,2014-11-25,False
9,3,1,BB,BB,2014-11-26,2016-04-18,False
9,3,1,BB,BB,2016-04-19,2016-09-28,False
9,3,1,BB,BB,2016-09-29,,False
10,2,1,A,,2013-05-28,,False
10,3,1,BBB,,2011-04-27,2014-04-01,False
10,3,1,AA,BBB,2014-04-02,2014-09-03,False
10,3,1,A,AA,2014-09-04,2016-01-20,False
10,3,1,AA,A,2016-01-21,,False
10,4,1,BBB,,2012-06-15,,False
11,2,1,A,,2012-06-15,,False
12,1,1,CCC,,2013-06-17,2014-04-13,False
